Year-Month,Day,Week Day,Page Likes,Num.Posts,Average post eng. rate,Total engagements,Likes,Comments,Retweets,Engagements per post,Likes per post,Comments per post,Retweets per post
2019 - 07,1,Mon,19613141,10,0.13%,249798,220609,643,28546,24980,22061,64,2855
2019 - 07,2,Tue,19621614,4,0.10%,81754,76432,0,5322,20439,19108,0,1331
2019 - 07,3,Wed,19631380,5,0.05%,50178,45486,0,4692,10036,9097,0,938
2019 - 07,4,Thu,19640758,3,0.05%,26781,24436,0,2345,8927,8145,0,782
2019 - 07,5,Fri,19649134,10,0.09%,177122,157698,1057,18367,17712,15770,106,1837
2019 - 07,6,Sat,19657481,4,0.06%,49120,44018,1011,4091,12280,11005,253,1023
2019 - 07,7,Sun,19666411,4,0.10%,81651,71359,0,10292,20413,17840,0,2573
2019 - 07,8,Mon,19675930,10,0.05%,98420,87412,1557,9451,9842,8741,156,945
2019 - 07,9,Tue,19684822,19,0.06%,214540,193630,1648,19262,11292,10191,87,1014
2019 - 07,10,Wed,19693906,25,0.04%,184693,166649,1397,16647,7388,6666,56,666
2019 - 07,11,Thu,19703260,15,0.02%,62418,56818,294,5306,4161,3788,20,354
2019 - 07,12,Fri,19713281,16,0.03%,81560,73414,908,7238,5098,4588,57,452
2019 - 07,13,Sat,19723163,46,0.03%,258960,230480,779,27701,5630,5010,17,602
2019 - 07,14,Sun,19732348,6,0.04%,42148,38763,309,3076,7025,6461,52,513
2019 - 07,15,Mon,19740559,11,0.05%,104545,95624,731,8190,9504,8693,66,745
2019 - 07,16,Tue,19748089,22,0.03%,136937,124250,1066,11621,6224,5648,48,528
2019 - 07,17,Wed,19756404,61,0.03%,368986,327613,1601,39772,6049,5371,26,652
2019 - 07,18,Thu,19763489,12,0.05%,113747,103133,424,10190,9479,8594,35,849
2019 - 07,19,Fri,19769229,25,0.03%,150280,136714,778,12788,6011,5469,31,512
2019 - 07,20,Sat,19774886,42,0.03%,285538,255458,607,29473,6799,6082,14,702
2019 - 07,21,Sun,19780087,8,0.09%,143920,125386,1809,16725,17990,15673,226,2091
2019 - 07,22,Mon,19784684,8,0.04%,68894,63650,109,5135,8612,7956,14,642
2019 - 07,23,Tue,19789205,11,0.05%,99356,91914,398,7044,9032,8356,36,640
2019 - 07,24,Wed,19793230,26,0.02%,114890,104171,1383,9336,4419,4007,53,359
2019 - 07,25,Thu,19797727,42,0.03%,243400,216420,742,26238,5795,5153,18,625
2019 - 07,26,Fri,19801321,10,0.06%,118310,107027,804,10479,11831,10703,80,1048
2019 - 07,27,Sat,19805282,5,0.09%,92572,84518,380,7674,18514,16904,76,1535
2019 - 07,28,Sun,19809033,5,0.07%,71618,66001,347,5270,14324,13200,69,1054
