Year-Month,Day,Week Day,Page Likes,Num.Posts,Average post eng. rate,Total engagements,Likes,Comments,Retweets,Engagements per post,Likes per post,Comments per post,Retweets per post
2020 - 07,1,Wed,22251074,15,0.09%,308286,276227,979,31080,20552,18415,65,2072
2020 - 07,2,Thu,22258295,17,0.08%,306605,272300,1884,32421,18036,16018,111,1907
2020 - 07,3,Fri,22265570,22,0.06%,283435,261359,44,22032,12883,11880,2,1001
2020 - 07,4,Sat,22272417,56,0.08%,972653,847991,3810,120852,17369,15143,68,2158
2020 - 07,5,Sun,22284789,13,0.09%,267632,241574,935,25123,20587,18583,72,1933
2020 - 07,6,Mon,22291211,19,0.10%,415951,375800,714,39437,21892,19779,38,2076
2020 - 07,7,Tue,22299834,17,0.05%,201302,185693,552,15057,11841,10923,32,886
2020 - 07,8,Wed,22309192,19,0.05%,217766,199854,402,17510,11461,10519,21,922
2020 - 07,9,Thu,22316570,50,0.07%,747001,664390,2473,80138,14940,13288,49,1603
2020 - 07,10,Fri,22326845,20,0.08%,373892,329955,945,42992,18695,16498,47,2150
2020 - 07,11,Sat,22336248,19,0.07%,317774,284733,663,32378,16725,14986,35,1704
2020 - 07,12,Sun,22345876,10,0.11%,238774,213056,1110,24608,23877,21306,111,2461
2020 - 07,13,Mon,22355775,44,0.05%,504660,443108,2899,58653,11470,10071,66,1333
2020 - 07,14,Tue,22367823,12,0.05%,140697,128195,828,11674,11725,10683,69,973
2020 - 07,15,Wed,22376303,16,0.04%,155577,142537,82,12958,9724,8909,5,810
2020 - 07,16,Thu,22385139,47,0.04%,466399,418483,1580,46336,9923,8904,34,986
2020 - 07,17,Fri,22395021,17,0.09%,332781,300071,609,32101,19575,17651,36,1888
2020 - 07,18,Sat,22404764,18,0.05%,193425,176510,271,16644,10746,9806,15,925
2020 - 07,19,Sun,22414113,40,0.04%,325636,288300,1313,36023,8141,7208,33,901
2020 - 07,20,Mon,22426569,8,0.04%,77072,72056,84,4932,9634,9007,11,617
2020 - 07,21,Tue,22432317,15,0.04%,133728,124689,190,8849,8915,8313,13,590
2020 - 07,22,Wed,22440828,40,0.03%,281854,252578,1707,27569,7046,6314,43,689
2020 - 07,23,Thu,22451556,13,0.05%,136852,126188,468,10196,10527,9707,36,784
2020 - 07,24,Fri,22457045,15,0.04%,137891,127236,244,10411,9193,8482,16,694
2020 - 07,25,Sat,22464710,11,0.05%,135788,124792,747,10249,12344,11345,68,932
2020 - 07,26,Sun,22471931,44,0.09%,871005,761044,3368,106593,19796,17296,77,2423
2020 - 07,27,Mon,22486863,13,0.08%,245571,225436,164,19971,18890,17341,13,1536
2020 - 07,28,Tue,22494662,13,0.08%,232469,210558,873,21038,17882,16197,67,1618
2020 - 07,29,Wed,22501936,13,0.06%,171078,157020,206,13852,13160,12078,16,1066
2020 - 07,30,Thu,22509643,14,0.06%,185242,163230,587,21425,13232,11659,42,1530
2020 - 07,31,Fri,22518033,15,0.05%,167860,155448,312,12100,11191,10363,21,807
2020 - 08,1,Sat,22526948,12,0.05%,142705,132891,242,9572,11892,11074,20,798
2020 - 08,2,Sun,22536259,9,0.08%,165750,152923,285,12542,18417,16991,32,1394
2020 - 08,3,Mon,22543791,17,0.07%,251505,229289,857,21359,14794,13488,50,1256
2020 - 08,4,Tue,22553233,25,0.08%,463710,408047,617,55046,18548,16322,25,2202
2020 - 08,5,Wed,22565772,48,0.04%,425390,388613,1159,35618,8862,8096,24,742
2020 - 08,6,Thu,22578107,16,0.06%,209524,190486,361,18677,13095,11905,23,1167
2020 - 08,7,Fri,22587492,12,0.06%,155898,142649,137,13112,12992,11887,11,1093
2020 - 08,8,Sat,22599036,10,0.06%,144668,133718,483,10467,14467,13372,48,1047
2020 - 08,9,Sun,22610408,22,0.06%,305438,279804,346,25288,13884,12718,16,1149
2020 - 08,10,Mon,22619723,47,0.04%,452365,409411,2025,40929,9625,8711,43,871
2020 - 08,11,Tue,22628980,13,0.05%,143227,131654,214,11359,11017,10127,16,874
2020 - 08,12,Wed,22641543,17,0.04%,168325,155695,303,12327,9901,9159,18,725
2020 - 08,13,Thu,22656400,12,0.04%,121490,112572,571,8347,10124,9381,48,696
2020 - 08,14,Fri,22666343,16,0.05%,195245,177977,1078,16190,12203,11124,67,1012
2020 - 08,15,Sat,22681300,23,0.04%,233488,212361,983,20144,10152,9233,43,876
2020 - 08,16,Sun,22695576,37,0.04%,348585,310527,1279,36779,9421,8393,35,994
2020 - 08,17,Mon,22702978,6,0.05%,62008,57175,263,4570,10335,9529,44,762
2020 - 08,18,Tue,22716094,8,0.05%,88356,82564,154,5638,11045,10321,19,705
2020 - 08,19,Wed,22709813,11,0.04%,91817,83744,2095,5978,8347,7613,190,543
2020 - 08,20,Thu,22722479,12,0.05%,139743,121905,971,16867,11645,10159,81,1406
2020 - 08,21,Fri,22733201,9,0.03%,64891,59743,770,4378,7210,6638,86,486
2020 - 08,22,Sat,22743677,11,0.04%,108332,97810,2459,8063,9848,8892,224,733
2020 - 08,23,Sun,22753667,7,0.05%,72945,64475,3510,4960,10421,9211,501,709
2020 - 08,24,Mon,22766304,8,0.05%,86064,78742,1723,5599,10758,9843,215,700
2020 - 08,25,Tue,22772005,6,0.08%,104842,95585,1326,7931,17474,15931,221,1322
2020 - 08,26,Wed,22791898,9,0.13%,263587,238079,2981,22527,29287,26453,331,2503
2020 - 08,27,Thu,22812965,8,0.09%,166934,150278,626,16030,20867,18785,78,2004
2020 - 08,28,Fri,22825787,7,0.05%,80589,72463,2166,5960,11513,10352,309,851
2020 - 08,29,Sat,22830779,8,0.06%,104020,97480,711,5829,13003,12185,89,729
2020 - 08,30,Sun,22841783,6,0.04%,52313,48464,1068,2781,8719,8077,178,464
2020 - 08,31,Mon,22853794,7,0.07%,117868,108200,1134,8534,16838,15457,162,1219
2020 - 09,1,Tue,22865225,8,0.07%,133528,123824,437,9267,16691,15478,55,1158
2020 - 09,2,Wed,22877970,15,0.25%,872572,730624,7264,134684,58171,48708,484,8979
2020 - 09,3,Thu,22894006,15,0.08%,278568,262074,287,16207,18571,17472,19,1080
2020 - 09,4,Fri,22903174,10,0.11%,247146,221604,269,25273,24715,22160,27,2527
2020 - 09,5,Sat,22914087,14,0.06%,201061,187722,1182,12157,14362,13409,84,868
2020 - 09,6,Sun,22924681,16,0.08%,276859,256892,1602,18365,17304,16056,100,1148
2020 - 09,7,Mon,22936214,8,0.04%,73786,69228,748,3810,9223,8654,94,476
2020 - 09,8,Tue,22948527,18,0.12%,491113,441115,1419,48579,27284,24506,79,2699
2020 - 09,9,Wed,22964051,17,0.07%,284857,263439,644,20774,16756,15496,38,1222
2020 - 09,10,Thu,22977044,10,0.04%,103176,96233,643,6300,10318,9623,64,630
2020 - 09,11,Fri,22993264,12,0.05%,150169,140585,306,9278,12514,11715,26,773
2020 - 09,12,Sat,23009827,13,0.05%,140098,129778,857,9463,10777,9983,66,728
2020 - 09,13,Sun,23023390,10,0.06%,143988,134012,1399,8577,14399,13401,140,858
2020 - 09,14,Mon,23034589,11,0.04%,101769,95032,1183,5554,9252,8639,108,505
2020 - 09,15,Tue,23046013,11,0.05%,136721,123130,4275,9316,12429,11194,389,847
2020 - 09,16,Wed,23055808,9,0.05%,99320,90910,2481,5929,11036,10101,276,659
2020 - 09,17,Thu,23066078,8,0.07%,128408,108237,8221,11950,16051,13530,1028,1494
2020 - 09,18,Fri,23076223,20,0.06%,288718,258007,4172,26539,14436,12900,209,1327
2020 - 09,19,Sat,23087442,31,0.05%,338229,293367,9680,35182,10911,9463,312,1135
2020 - 09,20,Sun,23101207,3,0.05%,37904,35752,0,2152,12635,11917,0,717
2020 - 09,21,Mon,23113549,4,0.04%,40517,38509,0,2008,10129,9627,0,502
2020 - 09,22,Tue,23123740,35,0.04%,291865,266970,2059,22836,8339,7628,59,652
2020 - 09,23,Wed,23134832,12,0.05%,151465,137512,2632,11321,12622,11459,219,943
2020 - 09,24,Thu,23146322,13,0.05%,158319,148003,1018,9298,12178,11385,78,715
2020 - 09,25,Fri,23155898,15,0.04%,125199,117758,293,7148,8347,7851,20,477
2020 - 09,26,Sat,23167322,48,0.04%,473494,422320,4083,47091,9864,8798,85,981
2020 - 09,27,Sun,23181048,10,0.05%,124686,116743,437,7506,12469,11674,44,751
2020 - 09,28,Mon,23192297,13,0.04%,132114,123530,708,7876,10163,9502,54,606
2020 - 09,29,Tue,23203111,10,0.02%,49656,46523,404,2729,4966,4652,40,273
2020 - 09,30,Wed,23215966,44,0.04%,374622,343929,1118,29575,8514,7817,25,672
2020 - 10,1,Thu,23226951,18,0.06%,268962,241704,1384,25874,14942,13428,77,1437
2020 - 10,2,Fri,23239475,20,0.03%,147499,137710,615,9174,7375,6886,31,459
2020 - 10,3,Sat,23248369,11,0.06%,148154,135668,2305,10181,13469,12333,210,926
2020 - 10,4,Sun,23260430,32,0.05%,353966,307323,6007,40636,11061,9604,188,1270
2020 - 10,5,Mon,23278942,14,0.29%,937771,784851,19704,133216,66984,56061,1407,9515
2020 - 10,6,Tue,23271059,11,0.11%,282748,257527,661,24560,25704,23412,60,2233
2020 - 10,7,Wed,23281016,11,0.06%,156878,144216,219,12443,14262,13111,20,1131
2020 - 10,8,Thu,23290307,10,0.06%,131813,120896,965,9952,13181,12090,97,995
2020 - 10,9,Fri,23298975,13,0.08%,229535,207847,1242,20446,17657,15988,96,1573
2020 - 10,10,Sat,23308103,6,0.04%,51724,47237,564,3923,8621,7873,94,654
2020 - 10,11,Sun,23316921,6,0.06%,80604,73996,438,6170,13434,12333,73,1028
2020 - 10,12,Mon,23326675,7,0.05%,86312,80992,89,5231,12330,11570,13,747
2020 - 10,13,Tue,23335819,9,0.04%,82117,76659,160,5298,9124,8518,18,589
2020 - 10,14,Wed,23344740,13,0.05%,145444,134811,368,10265,11188,10370,28,790
2020 - 10,15,Thu,23353631,11,0.04%,98198,91094,69,7035,8927,8281,6,640
2020 - 10,16,Fri,23363134,14,0.04%,127375,117630,502,9243,9098,8402,36,660
2020 - 10,17,Sat,23370820,43,0.06%,568095,508573,3602,55920,13212,11827,84,1300
2020 - 10,18,Sun,23385157,15,0.08%,268916,241040,1499,26377,17928,16069,100,1758
