Year.Month,Comp,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance
2019-08,Premier League,Sun,Home,W,4,0,Chelsea,2.3,0.8,46,"73,620"
2019-08,Premier League,Mon,Away,D,1,1,Wolves,1.3,0.3,64,"31,314"
2019-08,Premier League,Sat,Home,L,1,2,Crystal Palace,2.4,0.7,70,"73,454"
2019-08,Premier League,Sat,Away,D,1,1,Southampton,1.6,0.7,60,"30,499"
2019-09,Premier League,Sat,Home,W,1,0,Leicester City,1,0.4,43,"73,689"
2019-09,Europa Lg,Thu,Home,W,1,0,kz Astana FK,2.3,0.2,72,"50,783"
2019-09,Premier League,Sun,Away,L,0,2,West Ham,1,0.5,52,"59,936"
2019-09,EFL Cup,Wed,Home,W,1,1,Rochdale,0,0,65,"58,313"
2019-09,Premier League,Mon,Home,D,1,1,Arsenal,1.2,1.9,55,"73,201"
2019-10,Europa Lg,Thu,Away,D,0,0,nl AZ Alkmaar,0.6,0.6,48,"13,863"
2019-10,Premier League,Sun,Away,L,0,1,Newcastle Utd,0.6,0.5,68,"51,198"
2019-10,Premier League,Sun,Home,D,1,1,Liverpool,0.7,1.1,34,"73,737"
2019-10,Europa Lg,Thu,Away,W,1,0,rs Partizan,1.1,0.8,61,"25,627"
2019-10,Premier League,Sun,Away,W,3,1,Norwich City,4.1,1,54,"27,108"
2019-10,EFL Cup,Wed,Away,W,2,1,Chelsea,0,0,35,"38,645"
2019-11,Premier League,Sat,Away,L,0,1,Bournemouth,0.7,1.7,57,"10,669"
2019-11,Europa Lg,Thu,Home,W,3,0,rs Partizan,2.2,0.1,63,"62,955"
2019-11,Premier League,Sun,Home,W,3,1,Brighton,2.2,0.9,44,"73,556"
2019-11,Premier League,Sun,Away,D,3,3,Sheffield Utd,1.4,1.4,59,"32,024"
2019-11,Europa Lg,Thu,Away,L,1,2,kz Astana FK,2,1.2,65,"28,949"
2019-12,Premier League,Sun,Home,D,2,2,Aston Villa,1.7,1.4,62,"73,381"
2019-12,Premier League,Wed,Home,W,2,1,Tottenham,1.3,0.5,47,"73,252"
2019-12,Premier League,Sat,Away,W,2,1,Manchester City,1.6,2,29,"54,403"
2019-12,Europa Lg,Thu,Home,W,4,0,nl AZ Alkmaar,1.5,0.8,50,"65,773"
2019-12,Premier League,Sun,Home,D,1,1,Everton,1.7,0.3,65,"63,328"
2019-12,EFL Cup,Wed,Home,W,3,0,Colchester Utd,0,0,74,"57,559"
2019-12,Premier League,Sun,Away,L,0,2,Watford,1.7,1.5,63,"21,488"
2019-12,Premier League,Thu,Home,W,4,1,Newcastle Utd,1.6,0.9,73,"73,206"
2019-12,Premier League,Sat,Away,W,2,0,Burnley,1.8,0.4,62,"21,924"
2020-01,Premier League,Wed,Away,L,0,2,Arsenal,0.8,1.5,51,"60,328"
2020-01,FA Cup,Sat,Away,D,0,0,Wolves,0,0,51,"31,381"
2020-01,EFL Cup,Tue,Home,L,1,3,Manchester City,0,0,43,"69,023"
2020-01,Premier League,Sat,Home,W,4,0,Norwich City,2.2,0.3,61,"73,271"
2020-01,FA Cup,Wed,Home,W,1,0,Wolves,0,0,57,"67,025"
2020-01,Premier League,Sun,Away,L,0,2,Liverpool,1.2,2.3,47,"52,916"
2020-01,Premier League,Wed,Home,L,0,2,Burnley,1.8,0.6,70,"73,198"
2020-01,FA Cup,Sun,Away,W,6,0,Tranmere Rovers,0,0,72,"13,779"
2020-01,EFL Cup,Wed,Away,W,1,0,Manchester City,0,0,39,"51,000"
2020-02,Premier League,Sat,Home,D,0,0,Wolves,0.8,0.9,64,"73,363"
2020-02,Premier League,Mon,Away,W,2,0,Chelsea,0.8,1.4,39,"40,504"
2020-02,Europa Lg,Thu,Away,D,1,1,be Club Brugge,1.1,1.5,58,"27,006"
2020-02,Premier League,Sun,Home,W,3,0,Watford,2.4,0.3,57,"73,347"
2020-02,Europa Lg,Thu,Home,W,5,0,be Club Brugge,4.2,0.3,67,"70,397"
2020-03,Premier League,Sun,Away,D,1,1,Everton,1,2.3,55,"39,374"
2020-03,FA Cup,Thu,Away,W,3,0,Derby County,0,0,62,"31,379"
2020-03,Premier League,Sun,Home,W,2,0,Manchester City,1.4,0.6,28,"73,288"
2020-03,Europa Lg,Thu,Away,W,5,0,at LASK,2.5,0.4,56,0
2020-06,Premier League,Fri,Away,D,1,1,Tottenham,1.7,0.3,60,0
2020-06,Premier League,Wed,Home,W,3,0,Sheffield Utd,2.2,0.2,68,0
2020-06,FA Cup,Sat,Away,W,2,1,Norwich City,0,0,66,0
2020-06,Premier League,Tue,Away,W,3,0,Brighton,0.8,0.5,62,0
2020-07,Premier League,Sat,Home,W,5,2,Bournemouth,2.2,1.2,69,0
2020-07,Premier League,Thu,Away,W,3,0,Aston Villa,2.6,0.5,66,0
2020-07,Premier League,Mon,Home,D,2,2,Southampton,1.2,1.6,46,0
2020-07,Premier League,Thu,Away,W,2,0,Crystal Palace,1.8,0.8,58,0
2020-07,FA Cup,Sun,Neutral,L,1,3,Chelsea,0,0,51,0
2020-07,Premier League,Wed,Home,D,1,1,West Ham,0.7,1.8,56,0
2020-07,Premier League,Sun,Away,W,2,0,Leicester City,1.9,1.4,53,0
2020-08,Europa Lg,Wed,Home,W,2,1,at LASK,1.6,0.8,62,0
2020-08,Europa Lg,Mon,Home,W,1,0,dk FC Copenhagen,2.8,0.9,55,0
2020-08,Europa Lg,Sun,Away,L,1,2,es Sevilla,2.4,0.9,47,0
